Strain,enviro,OD,MIC50
A13,0.5,1.559162815685978,1
A13,1,1.6817394260674665,1
A13,2,1.5890254395574415,1
A13,4,1.673512807921058,1
A13,8,1.653439859643821,1
A13,16,1.623001372502109,1
A13,32,1.4506537223348484,1
A14,0.5,1.4418014388489209,1
A14,1,1.547318206972883,1
A14,2,1.642942778085224,1
A14,4,1.5702264526840066,1
A14,8,1.6029401217487547,1
A14,16,1.6373892639734364,1
A14,32,1.5304841173215271,1
A15,0.5,1.444414153426329,1
A15,1,1.617353432733334,1
A15,2,1.6583219111981988,1
A15,4,1.6300798111500792,1
A15,8,1.5895471675625,1
A15,16,1.6464672025360254,1
A15,32,1.4114650367035229,1
A16,0.5,1.4500899191206404,1
A16,1,1.5311768694012189,1
A16,2,1.4807500204277986,1
A16,4,1.4545626868407435,1
A16,8,1.5169650106776655,1
A16,16,1.5025367277095911,1
A16,32,1.482553555798808,1
A17,0.5,1.5479778767821954,0.0125
A17,1,1.4052139868859441,0.0125
A17,2,1.348123554220865,0.0125
A17,4,1.2985947682663923,0.0125
A17,8,1.4046090551490957,0.0125
A17,16,1.5168238923344965,0.0125
A17,32,1.4018868623332774,0.0125
A18,0.5,1.2118096294099698,4
A18,1,1.2206542807166834,4
A18,2,1.4141836747850083,4
A18,4,1.4765174078037502,4
A18,8,1.630877631799487,4
A18,16,1.1212572469840945,4
A18,32,0.9565782631305253,4
A19,0.5,1.4070927951098335,1
A19,1,1.600449712825007,1
A19,2,1.5401457078959602,1
A19,4,1.6060576011814665,1
A19,8,1.669664882813633,1
A19,16,1.5926908535920978,1
A19,32,1.5745612419191615,1
A20,0.5,1.5050460370255057,1
A20,1,1.4401204137161112,1
A20,2,1.5922898433475046,1
A20,4,1.5357920653715411,1
A20,8,1.635131390459112,1
A20,16,1.6354435328788688,1
A20,32,1.5618559574212258,1
A21,0.5,1.4564787427629091,1
A21,1,1.6716676776185961,1
A21,2,1.5111952131798354,1
A21,4,1.4983258993377744,1
A21,8,1.4900089958344016,1
A21,16,1.61485009473766,1
A21,32,1.8184829110412923,1
A22,0.5,1.4407315612932912,1
A22,1,1.7288837123777006,1
A22,2,1.6963448950797873,1
A22,4,1.6441632221952065,1
A22,8,1.6915622867630336,1
A22,16,1.5787439727196118,1
A22,32,1.5458635405419303,1
A23,0.5,1.4049139443007161,>32
A23,1,1.6177621892393586,>32
A23,2,1.759196538576656,>32
A23,4,1.7358563873313384,>32
A23,8,1.6940531313695755,>32
A23,16,1.5668318890592774,>32
A23,32,1.4819016073636295,>32
A24,0.5,1.3588822157982674,1
A24,1,1.6209924286808417,1
A24,2,1.533018538118992,1
A24,4,1.6958135531515284,1
A24,8,1.5568825388712215,1
A24,16,1.489701045004384,1
A24,32,1.2653951897491038,1
A25,0.5,1.4253419302163302,>32
A25,1,1.5556636419797876,>32
A25,2,1.6491018504139645,>32
A25,4,1.6778111719243232,>32
A25,8,1.5652334158165737,>32
A25,16,1.4832257705763359,>32
A25,32,1.3882590565987836,>32
A26,0.5,1.0302270237064322,1
A26,1,1.0674108508323514,1
A26,2,1.1355812005632036,1
A26,4,1.1551849189459162,1
A26,8,1.1816183198619608,1
A26,16,1.1986925261952912,1
A26,32,1.3546369440397081,1
A27,0.5,1.769990296050354,1
A27,1,1.9038174549661107,1
A27,2,1.7426402838538424,1
A27,4,1.450767634611677,1
A27,8,1.7758361001839598,1
A27,16,1.5972259060304028,1
A27,32,1.4460701134328866,1
A28,0.5,1.3602885577858277,1
A28,1,1.500665075759668,1
A28,2,1.625460458596235,1
A28,4,1.6496733962978196,1
A28,8,1.6311662263929827,1
A28,16,1.449898372542448,1
A28,32,1.347340853939361,1
A29,0.5,1.3190375568579913,1
A29,1,1.317003088033038,1
A29,2,1.4108066327835669,1
A29,4,1.477726125204355,1
A29,8,1.5295324206397751,1
A29,16,1.3448317151743645,1
A29,32,1.4013608846677121,1
A30,0.5,1.5239644696099681,1
A30,1,1.555631902809181,1
A30,2,1.5866695859163642,1
A30,4,1.6435270227967695,1
A30,8,1.6778034206629633,1
A30,16,1.5981850161706235,1
A30,32,1.6374994147730557,1
A31,0.5,1.4356709203910392,1
A31,1,1.469024544494781,1
A31,2,1.4296141677552847,1
A31,4,1.491177324683087,1
A31,8,1.4382429660308795,1
A31,16,1.4019024502163548,1
A31,32,1.3914483292286148,1
A32,0.5,1.4814391816607015,1
A32,1,1.4702327568202027,1
A32,2,1.4576371057598074,1
A32,4,1.4449488396180854,1
A32,8,1.6340688356866695,1
A32,16,1.6220288751142329,1
A32,32,1.6724114793558145,1
A33,0.5,1.5489973275250275,1
A33,1,1.4905016914444913,1
A33,2,1.662543457929209,1
A33,4,1.5307667857281486,1
A33,8,1.5769891042997624,1
A33,16,1.6285944568665174,1
A33,32,1.6748167754381313,1
