Strain,Enviro,OD,MIC50
A21,6.25,1.242597967763259,0.4
A21,12.5,1.0946469294778478,0.4
A22,0.2,1.2988360259917773,0.8
A22,0.39,1.511060216855235,0.8
A22,0.78,1.5926073831901844,0.8
A22,1.56,1.2717936083194255,0.8
A22,3.12,1.148171127531531,0.8
A22,6.25,1.0720828343291993,0.8
A22,12.5,0.9246092770849447,0.8
A23,0.2,1.5567944961458184,0.8
A23,0.39,1.5504906767578457,0.8
A23,0.78,1.4983408981846185,0.8
A23,1.56,1.1682499920507845,0.8
A23,3.12,1.0042790536522719,0.8
A23,6.25,0.9779892614319772,0.8
A23,12.5,0.6637295380793014,0.8
A24,0.2,1.4311358792364595,0.8
A24,0.39,1.2625428346883836,0.8
A24,0.78,1.2019863302292872,0.8
A24,1.56,1.0334711218051946,0.8
A24,3.12,0.9626402489802872,0.8
A24,6.25,0.9035626308768757,0.8
A24,12.5,0.786652772653787,0.8
A25,0.2,1.46570131930489,0.8
A25,0.39,1.564153479028507,0.8
A25,0.78,1.4115806008204583,0.8
A25,1.56,1.1530737581370691,0.8
A25,3.12,1.1448927192963991,0.8
A25,6.25,1.0702145185969512,0.8
A25,12.5,0.7996808495836881,0.8
A26,0.2,1.1913251938875529,0.8
A26,0.39,1.2734407215179924,0.8
A26,0.78,1.210383525515248,0.8
A26,1.56,0.9443903908842691,0.8
A26,3.12,0.6693386665290152,0.8
A26,6.25,0.6411041011546521,0.8
A26,12.5,0.5013430025515548,0.8
A27,0.2,1.2751958685417597,0.8
A27,0.39,1.453814866088202,0.8
A27,0.78,1.5396152478647998,0.8
A27,1.56,1.1967102658567152,0.8
A27,3.12,0.9727198682694222,0.8
A27,6.25,0.869423325692758,0.8
A27,12.5,0.8168359949264563,0.8
A28,0.2,1.3944766121951324,0.8
A28,0.39,1.543309339934934,0.8
A28,0.78,1.340453010249477,0.8
A28,1.56,1.2846694326030423,0.8
A28,3.12,1.0675037352634245,0.8
A28,6.25,1.0339111555833356,0.8
A28,12.5,0.7484124886439012,0.8
A29,0.2,1.2565481969411776,0.8
A29,0.39,1.4286334391035491,0.8
A29,0.78,1.2001634761788762,0.8
A29,1.56,1.1528033960857806,0.8
A29,3.12,1.1026665034790832,0.8
A29,6.25,0.9560353760247269,0.8
A29,12.5,0.7193121092401821,0.8
A30,0.2,1.5172997701481565,0.8
A30,0.39,1.6174822795087471,0.8
A30,0.78,1.3912924361523922,0.8
A30,1.56,1.1983186603440372,0.8
A30,3.12,1.0422120479803798,0.8
A30,6.25,1.0782777513501924,0.8
A30,12.5,0.7540426254996063,0.8
A31,0.2,1.4351020067784106,0.8
A31,0.39,1.4184267972537625,0.8
A31,0.78,1.2784210776804814,0.8
A31,1.56,1.0624688592820715,0.8
A31,3.12,1.0298613951125868,0.8
A31,6.25,0.9338551145325598,0.8
A31,12.5,0.644185261948454,0.8
A32,0.2,1.5736560769308487,0.8
A32,0.39,1.5980818572372937,0.8
A32,0.78,1.4372536741495876,0.8
A32,1.56,1.1764104647042142,0.8
A32,3.12,1.0425210022836988,0.8
A32,6.25,1.0666452297468547,0.8
A32,12.5,0.8890306050493691,0.8
A33,0.2,1.4676696950282786,0.8
A33,0.39,1.5252613237277584,0.8
A33,0.78,1.5131070168120397,0.8
A33,1.56,1.2072707358165202,0.8
A33,3.12,1.0715947516410584,0.8
A33,6.25,0.9903304902859643,0.8
A33,12.5,0.95697681084283,0.8
A34,0.2,1.6121819941263655,0.8
A34,0.39,1.342101057718053,0.8
A34,0.78,1.4996207225877727,0.8
A34,1.56,1.0298716275618094,0.8
A34,3.12,0.805906101960057,0.8
A34,6.25,0.7807822939220742,0.8
A34,12.5,0.7204520969887609,0.8
A35,0.2,1.6365473396906511,0.8
A35,0.39,1.6007653436803004,0.8
A35,0.78,1.5216601998122565,0.8
A35,1.56,1.1312901659186894,0.8
A35,3.12,1.0087079731348427,0.8
A35,6.25,0.9125198118166961,0.8
A35,12.5,0.734533238113597,0.8
A36,0.2,1.6268670977243764,0.8
A36,0.39,1.517246088462539,0.8
A36,0.78,1.5302038781682092,0.8
A36,1.56,1.0422532424634472,0.8
A36,3.12,0.9588315598327822,0.8
A36,6.25,0.8365365080851069,0.8
A36,12.5,0.5595046391222752,0.8
A37,0.2,1.4710430576072693,0.8
A37,0.39,1.5252251836657256,0.8
A37,0.78,1.5339269554793795,0.8
A37,1.56,1.233715827908311,0.8
A37,3.12,0.9524718435873166,0.8
