Enviro,MIC50,OD,Activity_norm,Strain
12.5,0.390625,1.079865793273132,0.8677169890049423,yAG190
3.12,0.390625,1.2553891747710177,0.9107073923541209,yAG190
6.25,0.390625,1.206735917916936,0.8574590606304776,yAG190
0.2,0.78125,1.491715376583169,1,yAG32
0.39,0.78125,1.6072482219188968,1.1036807888577556,yAG32
0.78,0.78125,1.5814396750172863,1.0269642567138966,yAG32
1.56,0.78125,1.5084862734867426,0.8921647343178618,yAG32
12.5,0.78125,1.0286522787456165,0.7671268404757877,yAG32
3.12,0.78125,1.4479247013349499,0.8854564467291565,yAG32
6.25,0.78125,1.20828721891278,0.8191374827316176,yAG32
0.2,0.390625,1.4333886862608651,1,yAG192
0.39,0.390625,1.5216973277620207,1.0849399873913483,yAG192
0.78,0.390625,1.5155002301128169,1.1239511181236794,yAG192
1.56,0.390625,1.4507952399520112,1.0816973549166828,yAG192
12.5,0.390625,0.9787222131450075,0.7051831098054767,yAG192
3.12,0.390625,1.257318205992307,0.8767211259873426,yAG192
6.25,0.390625,1.1411226250697335,0.7864407381659941,yAG192
0.2,0.390625,1.5271134849436774,1,yAG193
0.39,0.390625,1.5394861230954304,1.0868404005425483,yAG193
0.78,0.390625,1.260314414980426,1.0861729455461333,yAG193
1.56,0.390625,1.2375937521926617,1.102051282904358,yAG193
12.5,0.390625,0.8547168406602382,0.8079448796048846,yAG193
3.12,0.390625,1.1908776699590737,0.9999333194558863,yAG193
6.25,0.390625,1.096020777462302,0.8550975365148069,yAG193
0.2,0.390625,1.3989845445761815,1,yAG117
0.39,0.390625,1.4787541255239436,1.1200238771128403,yAG117
0.78,0.390625,1.2096546576631995,1.0889542380994692,yAG117
1.56,0.390625,1.0780915573322936,0.9876582985836639,yAG117
12.5,0.390625,0.8138311920124564,0.8228379709560001,yAG117
3.12,0.390625,1.0024049691534216,0.8072710179191517,yAG117
6.25,0.390625,0.8359852083325456,0.687633647346676,yAG117
0.2,0.390625,1.562400632172626,1,yAG98
0.39,0.390625,1.4393916728717975,1.0553362317866892,yAG98
0.78,0.390625,1.2968414168719133,0.8790498020486218,yAG98
1.56,0.390625,1.1071117752161415,0.7703009674812369,yAG98
12.5,0.390625,0.9610580994893347,0.8476115715878547,yAG98
3.12,0.390625,1.0600102433319634,0.8300312993354789,yAG98
6.25,0.390625,0.9563868731867717,0.8177218905722335,yAG98
0.2,0.390625,1.502553941891013,1,yAG43
0.39,0.390625,1.5556607073595399,0.9419563891395225,yAG43
0.78,0.390625,1.5049428275349261,0.8610286716137857,yAG43
1.56,0.390625,1.3008768654145144,0.9307119017623013,yAG43
12.5,0.390625,1.0934113352623804,1.0123623191834847,yAG43
3.12,0.390625,1.2504346262411214,0.96409942143091,yAG43
