Enviro,MIC50,OD,Activity_norm,Strain
2,1,1.1382613472395569,1.1726422412854358,HSC002
32,1,1.3569812895588769,1.1286454412441518,HSC002
4,1,1.1578350141330294,1.1437286339590758,HSC002
8,1,1.184227894008744,1.1536952664034954,HSC002
0.5,1,1.7714001028175024,1,HSC007
1,1,1.9050578913177791,1.0728416435608064,HSC007
16,1,1.5988543618128548,0.8747570695882799,HSC007
2,1,1.7440847045436547,0.986736634906235,HSC007
32,1,1.447889870589453,0.8368540527828582,HSC007
4,1,1.4525814466288542,0.8823567393884022,HSC007
8,1,1.777238508555424,0.9755234043082374,HSC007
0.5,1,1.361640341506375,1,HSC008
1,1,1.5018923175682835,0.9674457840596601,HSC008
16,1,1.4511706545214025,0.8915565074218802,HSC008
2,1,1.6265769820610487,0.9656942903316825,HSC008
32,1,1.348704124850326,0.8473207246671306,HSC008
4,1,1.6507684380675582,0.9109041191499784,HSC008
8,1,1.6322776877060872,0.9341641013157499,HSC008
0.5,1,1.3204166225187655,1,HSC0012
1,1,1.3183839465613643,1.0342899975282944,HSC0012
16,1,1.3461880498358219,0.9384007249605446,HSC0012
2,1,1.4121048273115597,1.0153721521083254,HSC0012
32,1,1.4026674032236237,0.9664212509662143,HSC0012
4,1,1.478965347196091,0.9551098629680894,HSC0012
8,1,1.5307259885399251,1.0353155325386278,HSC0012
0.5,1,1.5254480630312668,1,HSC0014
1,1,1.557080950364568,0.9554334469869279,HSC0014
16,1,1.5995876427186908,0.9590953403588226,HSC0014
2,1,1.5880847745974906,0.9362963810693984,HSC0014
32,1,1.6388591534137265,0.9950354480636752,HSC0014
4,1,1.6448801859459172,0.9031435107347906,HSC0014
8,1,1.6791191918379278,0.969567953308507,HSC0014
0.5,1,1.4371281119399466,1,HSC0015
1,1,1.4704481769776192,0.9533220358876175,HSC0015
16,1,1.4033936182326514,0.9448755305771721,HSC0015
2,1,1.4310774533634538,0.9574700784627312,HSC0015
32,1,1.392950015758157,0.9403186716967566,HSC0015
4,1,1.4925786679354762,0.8890413445194357,HSC0015
8,1,1.439697569691608,0.9590764382112323,HSC0015
0.5,1,1.4830141958243586,1,HSC0020
1,1,1.471820355828429,0.9994219248152962,HSC0020
16,1,1.6234460066823833,1.050266111134357,HSC0020
2,1,1.4592388497173017,0.9933090791682705,HSC0020
32,1,1.6737720311268929,1.0392225446390335,HSC0020
4,1,1.4465648325318277,0.9221471540591872,HSC0020
8,1,1.6354724463474313,1.0400482435933753,HSC0020
0.5,1,1.5501594125273166,1,HSC0028
1,1,1.4917146975908586,1.0071435648507578,HSC0028
16,1,1.6296872516249012,1.0955417468075557,HSC0028
2,1,1.663606699680048,1.0413649210057059,HSC0028
32,1,1.6758693331207037,1.1472825473746557,HSC0028
4,1,1.5319447406330093,1.003039195833191,HSC0028
8,1,1.5781268221288114,1.028682259540425,HSC0028
0.5,1,1.3568916575645336,1,HSC0029
1,1,1.488620196222349,1.0746654519807057,HSC0029
16,1,1.6853085011346425,1.132256512675198,HSC0029
2,1,1.5435482011058825,1.067611163545337,HSC0029
32,1,1.7886685342762616,1.1811185304619163,HSC0029
4,1,1.4063104164492695,0.9998063358359972,HSC0029
8,1,1.5283361039450234,1.0647064896124931,HSC0029
0.5,1,1.4998188897510754,1,HSC0030
1,1,1.619207991760298,1.073409603614288,HSC0030
16,1,1.7187257270604377,1.071227841401294,HSC0030
2,1,1.6894416076996852,1.0512422900286573,HSC0030
32,1,1.585096819757663,1.0010368492956605,HSC0030
4,1,1.6380334970636385,1.050418175493554,HSC0030
8,1,1.646963544451121,1.0540049511033298,HSC0030
0.5,1,1.0688604139747295,1,HSC0034
1,1,1.5974399201109821,1.1432056744185881,HSC0034
16,1,1.6358437371859067,1.1617018908234042,HSC0034
2,1,1.6674650185483149,1.17041955322664,HSC0034
32,1,1.5586694794840297,1.053169299744512,HSC0034
4,1,1.5342890132741729,1.1504971735715628,HSC0034
8,1,1.5918489109425562,1.0905531566477307,HSC0034
0.5,1,1.3866907227182368,1,HSC0038
1,1,1.5799515120210539,1.0725706189428188,HSC0038
16,1,1.6582141457056656,1.106360889780727,HSC0038
2,1,1.6019650478489351,1.0621087140581196,HSC0038
32,1,1.40009328554089,1.011591370526636,HSC0038
4,1,1.6652973654357728,1.1172151657861222,HSC0038
8,1,1.6583530323670403,1.0566867636536545,HSC0038
0.5,1,1.2712865979572636,1,HSC0041
1,1,1.4390337439397596,1.0790979704441324,HSC0041
16,1,1.3641085399851678,1.0969663248262906,HSC0041
2,1,1.6133646640321266,1.0844527241802824,HSC0041
