Strain,Enviro,Activity_norm,MIC50
A21,0.78,0.8610286716137857,0.390625
A21,1.56,0.9307119017623013,0.390625
A21,3.12,0.96409942143091,0.390625
A21,6.25,0.9683372502780652,0.390625
A21,12.5,1.0123623191834847,0.390625
A22,0.2,1,0.78125
A22,0.39,1.0418556874953468,0.78125
A22,0.78,1.0537237711023233,0.78125
A22,1.56,0.9842763345231137,0.78125
A22,3.12,0.7587133266200424,0.78125
A22,6.25,0.7374786536590445,0.78125
A22,12.5,0.7164926781590222,0.78125
A23,0.2,1,0.78125
A23,0.39,1.0889040753264638,0.78125
A23,0.78,0.9949793365800689,0.78125
A23,1.56,0.665933212208513,0.78125
A23,3.12,0.5614028150572808,0.78125
A23,6.25,0.6177751978414062,0.78125
A23,12.5,0.5463942333932359,0.78125
A24,0.2,1,0.78125
A24,0.39,0.9723911325337844,0.78125
A24,0.78,0.8828282707816372,0.78125
A24,1.56,0.9002272874885476,0.78125
A24,3.12,0.7126118285237296,0.78125
A24,6.25,0.8280567714834418,0.78125
A24,12.5,0.8327282072843476,0.78125
A25,0.2,1,0.78125
A25,0.39,1.0787029000439712,0.78125
A25,0.78,1.0885225744035836,0.78125
A25,1.56,0.9373711719891332,0.78125
A25,3.12,0.9359411748716716,0.78125
A25,6.25,0.815191959283487,0.78125
A25,12.5,0.7729783522431146,0.78125
A26,0.2,1,0.78125
A26,0.39,1.0630058148208315,0.78125
A26,0.78,1.114431917581126,0.78125
A26,1.56,1.0526744458054658,0.78125
A26,3.12,0.8343729607176933,0.78125
A26,6.25,0.8803297725949765,0.78125
A26,12.5,1.0365837479295321,0.78125
A27,0.2,1,0.78125
A27,0.39,1.068498428736422,0.78125
A27,0.78,1.1425444196448087,0.78125
A27,1.56,0.8901319348377231,0.78125
A27,3.12,0.609305261723998,0.78125
A27,6.25,0.564222554333016,0.78125
A27,12.5,0.5566477679325168,0.78125
A28,0.2,1,0.78125
A28,0.39,1.0343132399083699,0.78125
A28,0.78,1.0747873305695013,0.78125
A28,1.56,0.978100891186883,0.78125
A28,3.12,0.7895625145684364,0.78125
A28,6.25,0.6446187056618886,0.78125
A28,12.5,0.6055685321654863,0.78125
A29,0.2,1,0.78125
A29,0.39,1.0882101728207527,0.78125
A29,0.78,1.0218729959883168,0.78125
A29,1.56,0.9209125620995796,0.78125
A29,3.12,0.8393139585128672,0.78125
A29,6.25,0.6521246763413284,0.78125
A29,12.5,0.5995892912441168,0.78125
A30,0.2,1,0.78125
A30,0.39,1.0776377818187495,0.78125
A30,0.78,1.1231625556000013,0.78125
A30,1.56,0.9436780748254464,0.78125
A30,3.12,0.5864499958411322,0.78125
A30,6.25,0.5593280841498544,0.78125
A30,12.5,0.5904302897950342,0.78125
A31,0.2,1,0.78125
A31,0.39,0.9688610767826844,0.78125
A31,0.78,1.1628321209345416,0.78125
A31,1.56,0.9836542444512814,0.78125
A31,3.12,0.8211584939776184,0.78125
A31,6.25,0.5987873550930825,0.78125
A31,12.5,0.6631901811211854,0.78125
A32,0.2,1,0.78125
A32,0.39,1.0669873763534903,0.78125
A32,0.78,1.1545171122925746,0.78125
A32,1.56,0.8474690634902787,0.78125
A32,3.12,0.6028028608781337,0.78125
A32,6.25,0.5434011553650974,0.78125
A32,12.5,0.687755343034177,0.78125
A33,0.2,1,0.78125
A33,0.39,0.9958567922004194,0.78125
A33,0.78,1.1075533609485395,0.78125
A33,1.56,0.9690426564772194,0.78125
A33,3.12,0.8060940598017167,0.78125
A33,6.25,0.733240571764145,0.78125
A33,12.5,0.7716343941111251,0.78125
A34,0.2,1,0.78125
A34,0.39,0.8836361891255995,0.78125
A34,0.78,0.998949066193714,0.78125
A34,1.56,0.8711825252443667,0.78125
A34,3.12,0.6282785424179618,0.78125
A34,6.25,0.5953881371547525,0.78125
A34,12.5,0.5403476122704408,0.78125
A35,0.2,1,0.78125
A35,0.39,0.9563526805780637,0.78125
A35,0.78,0.9839223622115275,0.78125
A35,1.56,0.750907009875087,0.78125
A35,3.12,0.6310745295548519,0.78125
A35,6.25,0.5726003201902777,0.78125
A35,12.5,0.5305614468027432,0.78125
A36,0.2,1,0.78125
A36,0.39,0.9616249734015981,0.78125
A36,0.78,0.9649769353095836,0.78125
A36,1.56,0.7867135736160786,0.78125
A36,3.12,0.5469062881298254,0.78125
A36,6.25,0.5328436813403853,0.78125
A36,12.5,0.5516155113052154,0.78125
A37,0.2,1,0.78125
A37,0.39,0.9860270188827951,0.78125
A37,0.78,1.1078555049793195,0.78125
A37,1.56,0.9722272727652819,0.78125
A37,3.12,0.7273777447706875,0.78125
A37,6.25,0.7322253488415328,0.78125
A37,12.5,0.6231255068635483,0.78125
A38,0.2,1,0.390625
A38,0.39,0.983836975681415,0.390625
A38,0.78,0.9923534241382751,0.390625
A38,1.56,0.8927953461572105,0.390625
A38,3.12,0.713747898332492,0.390625
A38,6.25,0.6169992517625567,0.390625
A38,12.5,0.6103005188184282,0.390625
A39,0.2,1,0.78125
A39,0.39,0.9805134915361552,0.78125
A39,0.78,1.0230994218587417,0.78125
A39,1.56,0.7553572644198248,0.78125
A39,3.12,0.6681340881818298,0.78125
A39,6.25,0.6327017892876885,0.78125
A39,12.5,0.6629812939261747,0.78125
A40,0.2,1,0.78125
A40,0.39,0.9922087929096466,0.78125
A40,0.78,0.9428981299966221,0.78125
A40,1.56,0.782256887149395,0.78125
A40,3.12,0.8117337241987754,0.78125
A40,6.25,0.847414143117358,0.78125
