Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
yAG43,32,1,0.6923886054421768,1.8184829110412923,1.353523299319728,1.107164057050208
yAG43,4,1,0.5704886054421768,1.4983258993377744,1.264356632653061,1.0321328169605368
yAG43,8,1,0.5673219387755102,1.4900089958344016,1.2912566326530612,1.0536639722054855
yAG60,0,1,0.5623219387755102,1.4407315612932912,1.7834232993197279,1
yAG60,1,1,0.6747886054421768,1.7288837123777006,1.937523299319728,1.0875869473731594
yAG60,16,1,0.6161886054421768,1.5787439727196118,1.6116899659863944,0.9045936707361869
yAG60,2,1,0.6620886054421768,1.6963448950797873,1.7909232993197277,1.005345225237762
yAG60,32,1,0.6033552721088435,1.5458635405419303,1.5897566326530612,0.8917266678976895
yAG60,4,1,0.6417219387755101,1.6441632221952065,1.7357566326530611,0.9731158104699077
yAG60,8,1,0.6602219387755102,1.6915622867630336,1.7096566326530611,0.960287485393618
yAG46,0,>32,0.6721552721088435,1.4049139443007161,2.351856632653061,1
yAG46,1,>32,0.7739886054421768,1.6177621892393586,2.6752566326530616,1.1371920158888396
yAG46,16,>32,0.7496219387755102,1.5668318890592774,2.4022566326530614,1.020925893596004
yAG46,2,>32,0.8416552721088435,1.759196538576656,2.644956632653061,1.1242728544580893
yAG46,32,>32,0.7089886054421769,1.4819016073636295,2.415889965986395,1.0274126893506539
yAG46,4,>32,0.8304886054421768,1.7358563873313384,2.524123299319728,1.0715401543289147
yAG46,8,>32,0.8104886054421768,1.6940531313695755,2.6108566326530616,1.1101017712167538
yAG29,0,1,0.5751219387755102,1.3588822157982674,1.5817566326530612,1
yAG29,1,1,0.6860552721088435,1.6209924286808417,1.6604566326530612,1.0551458049880293
yAG29,16,1,0.6304886054421769,1.489701045004384,1.4674899659863945,0.9358573199295012
yAG29,2,1,0.6488219387755102,1.533018538118992,1.4831899659863945,0.9483944622821514
yAG29,32,1,0.5355552721088435,1.2653951897491038,1.3722566326530612,0.8679800236532553
yAG29,4,1,0.7177219387755102,1.6958135531515284,1.532856632653061,0.9751713617060593
yAG29,8,1,0.6589219387755102,1.5568825388712215,1.4394899659863944,0.9094298793404825
yAG58,0,>32,0.7149219387755101,1.4253419302163302,1.2408899659863946,1
