Strain,enviro.x,OD.x,enviro.y,OD.y,MIC50
A11,16,1.6140361291762422,4,1.5592004549163028,1
A11,16,1.6140361291762422,8,1.6224784560047507,1
A11,16,1.6140361291762422,16,1.6140361291762422,1
A11,16,1.6140361291762422,32,1.453395218682377,1
A11,32,1.453395218682377,0.5,1.3019856375243584,1
A11,32,1.453395218682377,1,1.5989661812861005,1
A11,32,1.453395218682377,2,1.602516692569118,1
A11,32,1.453395218682377,4,1.5592004549163028,1
A11,32,1.453395218682377,8,1.6224784560047507,1
A11,32,1.453395218682377,16,1.6140361291762422,1
A11,32,1.453395218682377,32,1.453395218682377,1
A13,0.5,1.5604844714103987,0.5,1.5604844714103987,1
A13,0.5,1.5604844714103987,1,1.6829387941673546,1
A13,0.5,1.5604844714103987,2,1.5903173030619255,1
A13,0.5,1.5604844714103987,4,1.6747203832440691,1
A13,0.5,1.5604844714103987,8,1.6546674605912521,1
A13,0.5,1.5604844714103987,16,1.6242593401750953,1
A13,0.5,1.5604844714103987,32,1.4520836313322611,1
A13,1,1.6829387941673546,0.5,1.5604844714103987,1
A13,1,1.6829387941673546,1,1.6829387941673546,1
A13,1,1.6829387941673546,2,1.5903173030619255,1
A13,1,1.6829387941673546,4,1.6747203832440691,1
A13,1,1.6829387941673546,8,1.6546674605912521,1
A13,1,1.6829387941673546,16,1.6242593401750953,1
A13,1,1.6829387941673546,32,1.4520836313322611,1
A13,2,1.5903173030619255,0.5,1.5604844714103987,1
A13,2,1.5903173030619255,1,1.6829387941673546,1
A13,2,1.5903173030619255,2,1.5903173030619255,1
A13,2,1.5903173030619255,4,1.6747203832440691,1
A13,2,1.5903173030619255,8,1.6546674605912521,1
A13,2,1.5903173030619255,16,1.6242593401750953,1
A13,2,1.5903173030619255,32,1.4520836313322611,1
A13,4,1.6747203832440691,0.5,1.5604844714103987,1
A13,4,1.6747203832440691,1,1.6829387941673546,1
A13,4,1.6747203832440691,2,1.5903173030619255,1
A13,4,1.6747203832440691,4,1.6747203832440691,1
A13,4,1.6747203832440691,8,1.6546674605912521,1
A13,4,1.6747203832440691,16,1.6242593401750953,1
A13,4,1.6747203832440691,32,1.4520836313322611,1
A13,8,1.6546674605912521,0.5,1.5604844714103987,1
A13,8,1.6546674605912521,1,1.6829387941673546,1
A13,8,1.6546674605912521,2,1.5903173030619255,1
A13,8,1.6546674605912521,4,1.6747203832440691,1
A13,8,1.6546674605912521,8,1.6546674605912521,1
A13,8,1.6546674605912521,16,1.6242593401750953,1
A13,8,1.6546674605912521,32,1.4520836313322611,1
A13,16,1.6242593401750953,0.5,1.5604844714103987,1
A13,16,1.6242593401750953,1,1.6829387941673546,1
A13,16,1.6242593401750953,2,1.5903173030619255,1
A13,16,1.6242593401750953,4,1.6747203832440691,1
A13,16,1.6242593401750953,8,1.6546674605912521,1
A13,16,1.6242593401750953,16,1.6242593401750953,1
A13,16,1.6242593401750953,32,1.4520836313322611,1
A13,32,1.4520836313322611,0.5,1.5604844714103987,1
A13,32,1.4520836313322611,1,1.6829387941673546,1
A13,32,1.4520836313322611,2,1.5903173030619255,1
A13,32,1.4520836313322611,4,1.6747203832440691,1
A13,32,1.4520836313322611,8,1.6546674605912521,1
A13,32,1.4520836313322611,16,1.6242593401750953,1
A13,32,1.4520836313322611,32,1.4520836313322611,1
A14,0.5,1.4433189268642435,0.5,1.4433189268642435,1
A14,0.5,1.4433189268642435,1,1.548724665277135,1
A14,0.5,1.4433189268642435,2,1.6442486157138179,1
A14,0.5,1.4433189268642435,4,1.571608805853618,1
A14,0.5,1.4433189268642435,8,1.604288052055641,1
A14,0.5,1.4433189268642435,16,1.638700945271034,1
A14,0.5,1.4433189268642435,32,1.5319082892474465,1
A14,1,1.548724665277135,0.5,1.4433189268642435,1
A14,1,1.548724665277135,1,1.548724665277135,1
A14,1,1.548724665277135,2,1.6442486157138179,1
A14,1,1.548724665277135,4,1.571608805853618,1
A14,1,1.548724665277135,8,1.604288052055641,1
A14,1,1.548724665277135,16,1.638700945271034,1
A14,1,1.548724665277135,32,1.5319082892474465,1
A14,2,1.6442486157138179,0.5,1.4433189268642435,1
A14,2,1.6442486157138179,1,1.548724665277135,1
A14,2,1.6442486157138179,2,1.6442486157138179,1
A14,2,1.6442486157138179,4,1.571608805853618,1
A14,2,1.6442486157138179,8,1.604288052055641,1
A14,2,1.6442486157138179,16,1.638700945271034,1
A14,2,1.6442486157138179,32,1.5319082892474465,1
A14,4,1.571608805853618,0.5,1.4433189268642435,1
A14,4,1.571608805853618,1,1.548724665277135,1
A14,4,1.571608805853618,2,1.6442486157138179,1
