Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm,PreMass
yAG117,0.78,0.4,0.5334175170068027,0.09284829931972793,1.4405301020408163,0.09836666666666656,0.4405692176870748
yAG117,1.56,0.4,0.47541751700680274,0.03484829931972794,1.3097301020408163,-0.03243333333333339,0.4405692176870748
yAG117,12.5,0.4,0.35891751700680274,-0.08165170068027205,1.0811634353741497,-0.26100000000000007,0.4405692176870748
yAG117,3.12,0.4,0.4420508503401361,0.0014816326530612822,1.0918634353741496,-0.2503000000000001,0.4405692176870748
yAG117,6.25,0.4,0.3686841836734694,-0.07188503401360541,0.9286301020408163,-0.41353333333333336,0.4405692176870748
yAG98,0,0.4,0.6690841836734693,0.24121496598639453,1.9939301020408164,0,0.4278692176870748
yAG98,0.39,0.4,0.6164175170068027,0.18854829931972789,2.09186343537415,0.09793333333333336,0.4278692176870748
yAG98,0.78,0.4,0.5553841836734694,0.1275149659863946,1.7396301020408165,-0.25430000000000014,0.4278692176870748
yAG98,1.56,0.4,0.47415085034013604,0.04628163265306123,1.5409301020408164,-0.45300000000000024,0.4278692176870748
yAG98,12.5,0.4,0.4116175170068027,-0.016251700680272096,1.6757634353741495,-0.31816666666666693,0.4278692176870748
yAG98,3.12,0.4,0.4539841836734694,0.026114965986394567,1.6632967687074829,-0.33063333333333356,0.4278692176870748
yAG98,6.25,0.4,0.4096175170068027,-0.018251700680272098,1.6332967687074829,-0.3606333333333336,0.4278692176870748
yAG43,0,0.4,0.5452508503401361,0.18274353741496607,1.1548634353741496,0,0.36250731292517
yAG43,0.39,0.4,0.5645175170068027,0.20201020408163273,1.0875634353741497,-0.06729999999999998,0.36250731292517
yAG43,0.78,0.4,0.5461175170068028,0.18361020408163276,0.996296768707483,-0.15856666666666666,0.36250731292517
yAG43,1.56,0.4,0.4720841836734694,0.10957687074829936,1.0741634353741496,-0.08070000000000006,0.36250731292517
yAG43,12.5,0.4,0.39681751700680273,0.03431020408163271,1.182296768707483,0.02743333333333331,0.36250731292517
yAG43,3.12,0.4,0.4537841836734694,0.09127687074829938,1.124296768707483,-0.030566666666666704,0.36250731292517
yAG43,6.25,0.4,0.4504508503401361,0.08794353741496608,1.1252634353741497,-0.029599999999999998,0.36250731292517
yAG60,0,0.8,0.5155175170068027,0.11861020408163264,1.678896768707483,0,0.39690731292517006
yAG60,0.39,0.8,0.5997508503401361,0.20284353741496602,1.7481301020408164,0.06923333333333341,0.39690731292517006
yAG60,0.78,0.8,0.6321175170068027,0.23521020408163268,1.7687634353741497,0.08986666666666676,0.39690731292517006
yAG60,1.56,0.8,0.5047841836734693,0.10787687074829927,1.6524634353741496,-0.02643333333333331,0.39690731292517006
yAG60,12.5,0.8,0.3669841836734694,-0.029923129251700653,1.2056967687074829,-0.4732,0.39690731292517006
yAG60,3.12,0.8,0.45571751700680274,0.05881020408163268,1.276596768707483,-0.40229999999999994,0.39690731292517006
yAG60,6.25,0.8,0.42551751700680274,0.028610204081632673,1.242296768707483,-0.43659999999999993,0.39690731292517006
yAG46,0,0.8,0.7244175170068028,0.2590911564625851,2.5112301020408165,0,0.46532636054421767
