Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
yAG193,16, ≤ 2,0.6942552721088435,0.2321998299319728,1.2886232993197277,-0.01206666666666667
yAG193,2, ≤ 2,0.6841886054421769,0.22213316326530613,1.2955232993197279,-0.00516666666666669
yAG193,32, ≤ 2,0.6850219387755102,0.22296649659863949,1.2956899659863945,-0.004999999999999967
yAG193,4, ≤ 2,0.6720886054421769,0.21003316326530613,1.2511232993197277,-0.04956666666666676
yAG193,8, ≤ 2,0.7009219387755101,0.2388664965986394,1.2964232993197278,-0.004266666666666641
yAG3,0, ≤ 2,1.0235719387755102,0.36234030612244905,1.0128566326530613,0
yAG3,1, ≤ 2,0.9291719387755102,0.267940306122449,0.8989066326530613,-0.11394999999999994
yAG3,16, ≤ 2,1.0029719387755103,0.3417403061224491,1.1136566326530613,0.1008
yAG3,2, ≤ 2,0.8914219387755101,0.23019030612244895,0.8126566326530613,-0.20019999999999993
yAG3,32, ≤ 2,0.9269719387755102,0.26574030612244903,0.9975566326530612,-0.01529999999999998
yAG3,4, ≤ 2,0.8586719387755102,0.197440306122449,0.7361566326530613,-0.27669999999999995
yAG3,8, ≤ 2,0.9287719387755102,0.26754030612244906,0.8385066326530612,-0.1743499999999999
yAG126,0,≥ 4,0.2877219387755102,0.050290306122449,0.45060663265306117,0
yAG126,1,≥ 4,0.2898219387755102,0.05239030612244899,0.4363566326530612,-0.014249999999999985
yAG126,16,≥ 4,0.26622193877551026,0.02879030612244904,0.3104566326530612,-0.14014999999999997
yAG126,2,≥ 4,0.33577193877551026,0.09834030612244904,0.41870663265306124,-0.03189999999999993
yAG126,32,≥ 4,0.2271219387755102,-0.010309693877551013,0.2443066326530612,-0.20629999999999996
yAG126,4,≥ 4,0.3505719387755102,0.11314030612244896,0.4244066326530612,-0.026199999999999946
yAG126,8,≥ 4,0.38722193877551025,0.14979030612244904,0.37475663265306125,-0.07584999999999995
yAG117,0, ≤ 2,0.6105552721088435,0.17664268707482994,1.5549899659863944,0
yAG117,1, ≤ 2,0.6944552721088435,0.2605426870748299,1.5760566326530612,0.021066666666666716
yAG117,16, ≤ 2,0.6910886054421769,0.2571760204081633,1.5489566326530613,-0.006033333333333261
yAG117,2, ≤ 2,0.6682886054421768,0.23437602040816324,1.5578899659863945,0.0029000000000000505
yAG117,32, ≤ 2,0.6832219387755102,0.2493093537414966,1.5411899659863946,-0.01379999999999996
yAG117,4, ≤ 2,0.6968886054421769,0.2629760204081633,1.5594566326530612,0.0044666666666666925
yAG117,8, ≤ 2,0.7244886054421769,0.29057602040816327,1.5691232993197277,0.014133333333333331
yAG98,0, ≤ 2,0.6428886054421769,0.21573316326530612,2.2269232993197283,0
yAG98,1, ≤ 2,0.6151552721088435,0.18799982993197273,2.0303566326530613,-0.19656666666666678
yAG98,16, ≤ 2,0.6985886054421768,0.2714331632653061,2.156423299319728,-0.07050000000000023
yAG98,2, ≤ 2,0.6801552721088435,0.2529998299319728,2.170623299319728,-0.05630000000000024
yAG98,32, ≤ 2,0.6671552721088435,0.23999982993197277,2.051423299319728,-0.1755000000000003
yAG98,4, ≤ 2,0.6560219387755102,0.22886649659863945,2.0923899659863947,-0.13453333333333353
yAG98,8, ≤ 2,0.6984552721088435,0.27129982993197277,2.1273232993197277,-0.0996000000000002
yAG43,0, ≤ 2,0.5545552721088435,0.17380459183673463,1.2234232993197278,0
yAG43,1, ≤ 2,0.6364886054421768,0.25573792517006794,1.3495566326530612,0.1261333333333333
yAG43,16, ≤ 2,0.6148552721088435,0.23410459183673465,1.308856632653061,0.08543333333333325
yAG43,2, ≤ 2,0.5753886054421768,0.194637925170068,1.252256632653061,0.028833333333333266
yAG43,32, ≤ 2,0.6923886054421768,0.311637925170068,1.353523299319728,0.13009999999999997
yAG43,4, ≤ 2,0.5704886054421768,0.189737925170068,1.264356632653061,0.040933333333333266
yAG43,8, ≤ 2,0.5673219387755102,0.18657125850340134,1.2912566326530612,0.06783333333333326
yAG60,0, ≤ 2,0.5623219387755102,0.1720188775510204,1.7834232993197279,0
yAG60,1, ≤ 2,0.6747886054421768,0.284485544217687,1.937523299319728,0.15410000000000004
yAG60,16, ≤ 2,0.6161886054421768,0.22588554421768703,1.6116899659863944,-0.17173333333333343
yAG60,2, ≤ 2,0.6620886054421768,0.2717855442176871,1.7909232993197277,0.007499999999999914
yAG60,32, ≤ 2,0.6033552721088435,0.21305221088435378,1.5897566326530612,-0.19366666666666674
yAG60,4, ≤ 2,0.6417219387755101,0.2514188775510203,1.7357566326530611,-0.04766666666666667
yAG60,8, ≤ 2,0.6602219387755102,0.2699188775510204,1.7096566326530611,-0.07376666666666669
yAG46,0, ≤ 2,0.6721552721088435,0.1937236394557823,2.351856632653061,0
yAG46,1, ≤ 2,0.7739886054421768,0.29555697278911564,2.6752566326530616,0.3234000000000001
yAG46,16, ≤ 2,0.7496219387755102,0.271190306122449,2.4022566326530614,0.05040000000000008
yAG46,2, ≤ 2,0.8416552721088435,0.3632236394557823,2.644956632653061,0.2930999999999999
yAG46,32, ≤ 2,0.7089886054421769,0.2305569727891157,2.415889965986395,0.06403333333333332
yAG46,4, ≤ 2,0.8304886054421768,0.35205697278911563,2.524123299319728,0.1722666666666668
yAG46,8, ≤ 2,0.8104886054421768,0.3320569727891156,2.6108566326530616,0.25900000000000006
yAG29,0, ≤ 2,0.5751219387755102,0.15189030612244897,1.5817566326530612,0
yAG29,1, ≤ 2,0.6860552721088435,0.2628236394557823,1.6604566326530612,0.07869999999999992
yAG29,16, ≤ 2,0.6304886054421769,0.20725697278911565,1.4674899659863945,-0.11426666666666674
yAG29,2, ≤ 2,0.6488219387755102,0.22559030612244896,1.4831899659863945,-0.09856666666666669
yAG29,32, ≤ 2,0.5355552721088435,0.11232363945578222,1.3722566326530612,-0.2095000000000001
yAG29,4, ≤ 2,0.7177219387755102,0.2944903061224489,1.532856632653061,-0.04890000000000009
yAG29,8, ≤ 2,0.6589219387755102,0.23569030612244896,1.4394899659863944,-0.14226666666666676
yAG58,0, ≤ 2,0.7149219387755101,0.21334268707482984,1.2408899659863946,0
yAG58,1, ≤ 2,0.7802886054421768,0.2787093537414965,1.3368899659863944,0.09599999999999993
yAG58,16, ≤ 2,0.7439552721088435,0.2423760204081632,1.2382899659863944,-0.0026000000000000836
yAG58,2, ≤ 2,0.8271552721088435,0.32557602040816325,1.362956632653061,0.12206666666666662
yAG58,32, ≤ 2,0.6963219387755102,0.1947426870748299,1.1714232993197278,-0.06946666666666672
yAG58,4, ≤ 2,0.8415552721088435,0.3399760204081632,1.3585899659863945,0.11769999999999992
yAG58,8, ≤ 2,0.7850886054421768,0.28350935374149655,1.308923299319728,0.06803333333333332
HSC002,0, ≤ 2,0.27152193877551023,0.007966496598639461,0.683823299319728,0
HSC002,1, ≤ 2,0.2813219387755102,0.017766496598639436,0.7389566326530612,0.05513333333333329
HSC002,16, ≤ 2,0.3159219387755102,0.052366496598639456,0.7065899659863946,0.02276666666666664
HSC002,2, ≤ 2,0.2992886054421769,0.03573316326530612,0.7945566326530613,0.11073333333333331
HSC002,32, ≤ 2,0.3570219387755102,0.09346649659863943,0.7640232993197279,0.08019999999999994
HSC002,4, ≤ 2,0.30445527210884354,0.040899829931972775,0.7594899659863946,0.07566666666666662
HSC002,8, ≤ 2,0.31142193877551017,0.047866496598639396,0.7829232993197279,0.09909999999999997
HSC007,0, ≤ 2,0.5651886054421769,0.24587125850340136,2.312789965986395,0
HSC007,1, ≤ 2,0.6079219387755102,0.28860459183673465,2.4799566326530615,0.16716666666666669
