Strain,Drug,Enviro,MIC50,OD,Activity_norm,Species,RAD50,FoG50
HSC041,BA,1.56,0.390625,1.171082148607919,0.8927953461572105,C.albicans,11.5,0.126666667
HSC041,BA,12.5,0.390625,0.7271743767812767,0.6103005188184282,C.albicans,11.5,0.126666667
HSC041,BA,0.78,0.390625,1.3286572606679143,0.9923534241382751,C.albicans,11.5,0.126666667
HSC041,BA,0.2,0.390625,1.446105589805667,1,C.albicans,11.5,0.126666667
HSC041,FLC,2,1,1.6133646640321266,1.0844527241802824,C.albicans,18.33333333,0.261666667
HSC041,FLC,32,1,1.2145363197144294,1.0529838658204291,C.albicans,18.33333333,0.261666667
HSC041,FLC,4,1,1.4926312289468808,1.1325742989887284,C.albicans,18.33333333,0.261666667
HSC041,FLC,8,1,1.4509030831800909,1.0892236713079493,C.albicans,18.33333333,0.261666667
HSC041,FLC,16,1,1.3641085399851678,1.0969663248262906,C.albicans,18.33333333,0.261666667
HSC041,FLC,0.5,1,1.2712865979572636,1,C.albicans,18.33333333,0.261666667
HSC041,FLC,1,1,1.4390337439397596,1.0790979704441324,C.albicans,18.33333333,0.261666667
HSC042,BA,12.5,0.78125,0.6577650493541387,0.6629812939261747,C.albicans,11.5,0.118333333
HSC042,BA,0.39,0.78125,1.5254972535438274,0.9805134915361552,C.albicans,11.5,0.118333333
HSC042,BA,3.12,0.78125,1.0469934768628684,0.6681340881818298,C.albicans,11.5,0.118333333
HSC042,BA,6.25,0.78125,0.9189389116657839,0.6327017892876885,C.albicans,11.5,0.118333333
HSC042,BA,0.2,0.78125,1.5970838375117373,1,C.albicans,11.5,0.118333333
HSC042,BA,0.78,0.78125,1.5045579887506797,1.0230994218587417,C.albicans,11.5,0.118333333
HSC042,BA,1.56,0.78125,1.287832818490915,0.7553572644198248,C.albicans,11.5,0.118333333
HSC042,FLC,1,1,1.4638607506903374,1.1472477565519101,C.albicans,18,0.403333333
HSC042,FLC,0.5,1,1.4068382980303333,1,C.albicans,18,0.403333333
HSC042,FLC,2,1,1.6585904869850454,1.142210906036712,C.albicans,18,0.403333333
HSC042,FLC,32,1,1.5862068838125503,1.0480442383671082,C.albicans,18,0.403333333
HSC042,FLC,4,1,1.7244572384249686,1.1584640379018536,C.albicans,18,0.403333333
HSC042,FLC,16,1,1.5966803955256124,1.0922575369370477,C.albicans,18,0.403333333
HSC042,FLC,8,1,1.7420682544165618,1.1150790284663779,C.albicans,18,0.403333333
HSC043,BA,1.56,0.78125,1.2879626454163127,0.782256887149395,C.albicans,11,0.106666667
HSC043,BA,12.5,0.78125,0.7515434041163218,0.7978230254901961,C.albicans,11,0.106666667
HSC043,BA,0.78,0.78125,1.464176972588939,0.9428981299966221,C.albicans,11,0.106666667
HSC043,BA,0.39,0.78125,1.5873129761111873,0.9922087929096466,C.albicans,11,0.106666667
HSC043,BA,6.25,0.78125,1.123163011501832,0.847414143117358,C.albicans,11,0.106666667
HSC043,BA,3.12,0.78125,1.140641760553368,0.8117337241987754,C.albicans,11,0.106666667
HSC043,BA,0.2,0.78125,1.5058406029811713,1,C.albicans,11,0.106666667
HSC043,FLC,16,>32,1.7572981058806652,1.102355017322614,C.albicans,18.66666667,0.64
HSC043,FLC,2,>32,1.680011905576487,1.159961738208752,C.albicans,18.66666667,0.64
HSC043,FLC,32,>32,1.4258678663238156,0.9902813449741837,C.albicans,18.66666667,0.64
HSC043,FLC,8,>32,1.6869151390017145,1.0989130859819527,C.albicans,18.66666667,0.64
HSC043,FLC,1,>32,1.5154598305599214,1.104027864190057,C.albicans,18.66666667,0.64
HSC043,FLC,4,>32,1.6870652092935672,1.2216744451120527,C.albicans,18.66666667,0.64
HSC043,FLC,0.5,>32,1.407109079842219,1,C.albicans,18.66666667,0.64
HSC044,BA,0.2,0.78125,1.4270373752482564,1,C.albicans,12.16666667,0.091666667
HSC044,BA,0.78,0.78125,1.4560826639315774,0.9950278394581781,C.albicans,12.16666667,0.091666667
HSC044,BA,3.12,0.78125,0.9823696052780287,0.7043738249935423,C.albicans,12.16666667,0.091666667
HSC044,BA,6.25,0.78125,1.0152034098765652,0.7280693061447936,C.albicans,12.16666667,0.091666667
HSC044,BA,12.5,0.78125,0.7719955450448706,0.7273547191448125,C.albicans,12.16666667,0.091666667
HSC044,BA,0.39,0.78125,1.5106818638861579,1.0427128095419842,C.albicans,12.16666667,0.091666667
HSC044,BA,1.56,0.78125,1.084288111859912,0.7337736557842017,C.albicans,12.16666667,0.091666667
HSC044,FLC,1,1,1.4096010047973282,1.1222203999607194,C.albicans,18.16666667,0.563333333
HSC044,FLC,0.5,1,1.2593603401697842,1,C.albicans,18.16666667,0.563333333
HSC044,FLC,32,1,1.5398043830682147,1.1006191685739266,C.albicans,18.16666667,0.563333333
HSC044,FLC,4,1,1.6672789480220467,1.23476317402691,C.albicans,18.16666667,0.563333333
HSC044,FLC,16,1,1.5529806530848493,1.1198658034077558,C.albicans,18.16666667,0.563333333
HSC044,FLC,2,1,1.48249930341007,1.1421843473371798,C.albicans,18.16666667,0.563333333
HSC044,FLC,8,1,1.5784755660756156,1.1198085517720833,C.albicans,18.16666667,0.563333333
HSC046,BA,12.5,0.78125,0.755804862934982,0.9038340352400345,C.albicans,10.66666667,0.16166666699999999
HSC046,BA,6.25,0.78125,1.075292990211443,0.9099585807201502,C.albicans,10.66666667,0.16166666699999999
