Strain,Biorep,12.5,6.25,3.125,1.5625,0.78125,0.390625,0,Background
A65,2,0.2471,0.2961,0.2394,0.2459,0.3383,0.4761,0.5745,0.0665
A66,2,0.5188,0.5628,0.4921,0.6012,0.6616,0.8158,0.7904,0.0683
A67,2,0.5369,0.5442,0.5693,0.5706,0.6677,0.7302,0.7249,0.0684
A68,2,0.5148,0.5156,0.525,0.566,0.631,0.7057,0.7108,0.0672
A01,3,0.459,0.381,0.371,0.359,0.582,0.743,0.689,0.085
A05,3,0.31,0.268,0.297,0.347,0.51,0.516,0.538,0.087
A06,3,0.378,0.352,0.392,0.416,0.601,0.551,0.559,0.086
A07,3,0.337,0.394,0.485,0.622,0.779,0.751,0.594,0.086
A09,3,0.416,0.47,0.523,0.756,0.853,0.797,0.578,0.084
A11,3,0.324,0.43,0.53,0.684,0.794,0.754,0.608,0.085
A13,3,0.556,0.505,0.605,0.65,0.769,0.716,0.75,0.086
A14,3,0.505,0.562,0.697,0.673,0.683,0.687,0.647,0.085
A15,3,0.496,0.539,0.644,0.689,0.625,0.665,0.62,0.086
A16,3,0.479,0.586,0.687,0.69,0.702,0.772,0.785,0.088
A19,3,0.513,0.515,0.617,0.605,0.685,0.811,0.731,0.086
A20,3,0.567,0.518,0.561,0.568,0.664,0.717,0.77,0.088
A21,3,0.502,0.655,0.601,0.652,0.746,0.761,0.732,0.086
A22,3,0.461,0.536,0.56,0.637,0.824,0.684,0.679,0.089
A23,3,0.366,0.567,0.598,0.656,0.871,0.814,0.872,0.089
A24,3,0.386,0.393,0.454,0.54,0.407,0.409,0.759,0.089
A25,3,0.447,0.624,0.712,0.652,0.785,0.855,0.884,0.086
A26,3,0.207,0.215,0.214,0.267,0.266,0.326,0.363,0.086
A27,3,0.334,0.295,0.328,0.348,0.555,0.642,0.487,0.095
A28,3,0.423,0.608,0.623,0.767,0.659,0.791,0.754,0.088
A29,3,0.346,0.553,0.616,0.629,0.572,0.73,0.646,0.087
A30,3,0.363,0.559,0.514,0.543,0.608,0.673,0.704,0.092
A31,3,0.321,0.551,0.527,0.445,0.571,0.627,0.654,0.089
A32,3,0.387,0.538,0.467,0.494,0.602,0.643,0.66,0.091
A33,3,0.595,0.606,0.701,0.77,0.925,0.884,0.908,0.089
A34,3,0.357,0.427,0.459,0.551,0.731,0.691,0.94,0.088
A35,3,0.437,0.543,0.585,0.626,0.94,0.867,0.916,0.087
A36,3,0.26,0.481,0.544,0.539,0.683,0.719,0.8,0.088
A37,3,0.413,0.685,0.648,0.854,1.004,0.954,0.969,0.087
A38,3,0.469,0.681,0.773,0.783,0.833,0.911,0.927,0.088
