Strain,Drug,Species,Type,RAD50,FoG50
HSC032,BA,C.parapsilosis,HSc,12.5,0.085
HSC032,FLC,C.parapsilosis,HSc,22,0.0875
HSC033,BA,C.parapsilosis,HSc,13.75,0.0875
HSC033,FLC,C.parapsilosis,HSc,22.5,0.095
HSC034,BA,C.albicans,HSc,12.25,0.1225
HSC034,FLC,C.albicans,HSc,20.75,0.375
HSC036,BA,C.tropicalis,HSc,8.25,0.3
HSC036,FLC,C.tropicalis,HSc,18,0.5525
HSC037,BA,C.parapsilosis,HSc,7.25,0.205
HSC037,FLC,C.parapsilosis,HSc,21.25,0.0925
HSC038,BA,C.albicans,HSc,12.33333333,0.153333333
HSC038,FLC,C.albicans,HSc,18.5,0.358333333
HSC039,BA,C.parapsilosis,HSc,11.25,0.1225
HSC039,FLC,C.parapsilosis,HSc,21,0.105
HSC040,BA,C.parapsilosis,HSc,12.25,0.095
HSC040,FLC,C.parapsilosis,HSc,21.5,0.1175
HSC041,BA,C.albicans,HSc,11.5,0.126666667
HSC041,FLC,C.albicans,HSc,18.33333333,0.261666667
HSC042,BA,C.albicans,HSc,11.5,0.118333333
HSC042,FLC,C.albicans,HSc,18,0.403333333
HSC043,BA,C.albicans,HSc,11,0.106666667
HSC043,FLC,C.albicans,HSc,18.66666667,0.64
HSC044,BA,C.albicans,HSc,12.16666667,0.091666667
HSC044,FLC,C.albicans,HSc,18.16666667,0.563333333
HSC045,BA,C.glabrata,HSc,10.83333333,0.176666667
HSC045,FLC,C.glabrata,HSc,13.66666667,0.088333333
HSC046,BA,C.albicans,HSc,10.66666667,0.161666667
HSC046,FLC,C.albicans,HSc,16.83333333,0.5
HSC047,BA,C.albicans,HSc,11,0.148333333
HSC047,FLC,C.albicans,HSc,17.5,0.613333333
HSC048,BA,C.albicans,HSc,11.25,0.2725
HSC048,FLC,C.albicans,HSc,17.5,0.4275
HSC049,BA,C.tropicalis,HSc,11,0.255
HSC049,FLC,C.tropicalis,HSc,15,0.6425
HSC051,BA,C.albicans,HSc,12.33333333,0.115
HSC051,FLC,C.albicans,HSc,21.66666667,0.255
HSC052,BA,C.glabrata,HSc,9.833333333,0.383333333
HSC052,FLC,C.glabrata,HSc,12.66666667,0.346666667
HSC053,BA,C.glabrata,HSc,10.16666667,0.408333333
HSC053,FLC,C.glabrata,HSc,12.33333333,0.255
HSC054,BA,C.albicans,HSc,13.16666667,0.12
HSC054,FLC,C.albicans,HSc,18,0.523333333
HSC055,BA,C.albicans,HSc,13,0.106666667
HSC055,FLC,C.albicans,HSc,18.66666667,0.37
HSC057,BA,C.albicans,HSc,12.83333333,0.158333333
HSC057,FLC,C.albicans,HSc,18.33333333,0.363333333
HSC058,BA,C.albicans,HSc,13.66666667,0.09
HSC058,FLC,C.albicans,HSc,17.83333333,0.373333333
HSC059,BA,C.albicans,HSc,12,0.14
HSC059,FLC,C.albicans,HSc,9.5,
HSC061,BA,C.albicans,HSc,11.5,0.13
HSC061,FLC,C.albicans,HSc,17.75,0.4725
HSC062,BA,C.albicans,HSc,13.16666667,0.133333333
HSC062,FLC,C.albicans,HSc,20.16666667,0.128333333
HSC063,BA,C.albicans,HSc,11.75,0.135
HSC063,FLC,C.albicans,HSc,18,0.4025
HSC066,BA,C.glabrata,HSc,11.16666667,0.316666667
HSC066,FLC,C.glabrata,HSc,13.83333333,0.158333333
HSC071,BA,C.glabrata,HSc,6.5,0.485
HSC071,FLC,C.glabrata,HSc,13,0.2225
HSC072,BA,C.glabrata,HSc,8.666666667,0.485
HSC072,FLC,C.glabrata,HSc,12,0.306666667
HSC073,BA,C.glabrata,HSc,10.83333333,0.378333333
HSC073,FLC,C.glabrata,HSc,11.5,0.421666667
HSC074,BA,C.albicans,HSc,13.83333333,0.125
HSC074,FLC,C.albicans,HSc,19.66666667,0.353333333
HSC075,BA,C.glabrata,HSc,9.5,0.435
HSC075,FLC,C.glabrata,HSc,11.33333333,0.411666667
HSC077,BA,C.albicans,HSc,16.5,0.121666667
HSC077,FLC,C.albicans,HSc,19.5,0.421666667
HSC078,BA,C.albicans,HSc,12.5,0.148333333
HSC078,FLC,C.albicans,HSc,17,0.315
HSC080,BA,C.albicans,HSc,12.16666667,0.136666667
HSC080,FLC,C.albicans,HSc,19.16666667,0.278333333
HSC081,BA,C.albicans,HSc,11.16666667,0.135
HSC081,FLC,C.albicans,HSc,19.16666667,0.286666667
HSC082,BA,C.albicans,HSc,11.83333333,0.156666667
