Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
HSC078,BA,C.albicans,12.75,0.1675,11.5,0.1525
HSC078,FLC,C.albicans,19.5,0.2833333333333333,17,0.315
HSC080,BA,C.albicans,13,0.14250000000000002,11.75,0.1375
HSC080,FLC,C.albicans,21.5,0.255,19.166666666666668,0.2783333333333333
HSC081,BA,C.albicans,11.75,0.185,10,0.125
HSC081,FLC,C.albicans,21.333333333333332,0.26,19.166666666666668,0.2866666666666667
HSC082,BA,C.albicans,13,0.21000000000000002,11.5,0.17250000000000001
HSC082,FLC,C.albicans,21.166666666666668,0.3333333333333333,17,0.3333333333333333
HSC083,BA,C.albicans,14.25,0.2025,12.25,0.15250000000000002
HSC083,FLC,C.albicans,20.833333333333332,0.37333333333333335,17.166666666666668,0.42500000000000004
HSC084,BA,C.parapsilosis,12,0.1575,11,0.1275
HSC084,FLC,C.parapsilosis,22,0.11166666666666666,20.166666666666668,0.075
HSC085,BA,C.parapsilosis,10.5,0.33999999999999997,8.25,0.3175
HSC085,FLC,C.parapsilosis,14,0.21833333333333332,10.833333333333334,0.09500000000000001
HSC086,BA,C.glabrata,12.25,0.32499999999999996,10.5,0.35
HSC086,FLC,C.glabrata,13.666666666666666,0.5283333333333333,6.833333333333333,0.47
HSC087,BA,C.tropicalis,11.5,0.355,8,0.29500000000000004
HSC087,FLC,C.tropicalis,21.833333333333332,0.3866666666666667,18.666666666666668,0.5183333333333333
HSC088,BA,C.parapsilosis,12.25,0.175,11.75,0.1875
HSC088,FLC,C.parapsilosis,24.833333333333332,0.12166666666666667,23.166666666666668,0.1
HSC089,BA,C.parapsilosis,3.25,0.4125,2.25,0.48749999999999993
HSC089,FLC,C.parapsilosis,24,0.19666666666666666,22,0.19166666666666668
HSC090,BA,C.albicans,14.25,0.1825,12.5,0.15000000000000002
HSC090,FLC,C.albicans,22,0.27666666666666667,19.5,0.25
HSC091,BA,C.parapsilosis,14.75,0.12,13.75,0.0925
HSC091,FLC,C.parapsilosis,22.333333333333332,0.24833333333333335,18.333333333333332,0.19666666666666666
HSC094,BA,C.albicans,14.5,0.1925,12.5,0.15750000000000003
HSC094,FLC,C.albicans,20.666666666666668,0.345,18.166666666666668,0.4066666666666667
HSC096,BA,C.glabrata,11,0.44,8,0.48249999999999993
HSC096,FLC,C.glabrata,15,0.28,12.833333333333334,0.25666666666666665
HSC097,BA,C.albicans,16,0.14500000000000002,14.75,0.115
HSC097,FLC,C.albicans,23.333333333333332,0.26166666666666666,21,0.3016666666666667
HSC098,BA,C.albicans,11.5,0.15000000000000002,10,0.125
HSC098,FLC,C.albicans,21.5,0.6225,9.5,0.89
HSC099,BA,C.albicans,15.75,0.13,14.75,0.11249999999999999
HSC099,FLC,C.albicans,20.166666666666668,0.3466666666666667,18,0.4166666666666667
HSC100,BA,C.albicans,13,0.1575,11.75,0.14250000000000002
HSC100,FLC,C.albicans,21.166666666666668,0.4166666666666667,17,0.475
HSC101,BA,C.glabrata,11.25,0.3375,9,0.355
HSC101,FLC,C.glabrata,12.666666666666666,0.22333333333333333,11.166666666666666,0.24
HSC103,BA,C.glabrata,11.25,0.405,8.5,0.41
HSC103,FLC,C.glabrata,14.166666666666666,0.29333333333333333,12.666666666666666,0.3516666666666667
HSC105,BA,C.albicans,12,0.195,10.5,0.16
HSC105,FLC,C.albicans,21.5,0.5974999999999999,13.75,0.825
HSC107,BA,C.glabrata,13,0.345,10.333333333333334,0.33
HSC107,FLC,C.glabrata,15.166666666666666,0.25833333333333336,13.5,0.2833333333333333
HSC109,BA,C.tropicalis,12.5,0.4583333333333333,8,0.43
HSC109,FLC,C.tropicalis,19.166666666666668,0.5633333333333334,12.333333333333334,0.735
HSC110,BA,C.glabrata,12.666666666666666,0.27666666666666667,10.5,0.255
HSC110,FLC,C.glabrata,12.833333333333334,0.37333333333333335,10.166666666666666,0.39499999999999996
HSC111,BA,C.albicans,13.833333333333334,0.13833333333333334,12.833333333333334,0.11333333333333333
HSC111,FLC,C.albicans,20.333333333333332,0.3466666666666667,18.333333333333332,0.44666666666666666
HSC112,BA,C.albicans,12.166666666666666,0.14166666666666666,11,0.10666666666666666
HSC112,FLC,C.albicans,19.333333333333332,0.41500000000000004,17,0.5583333333333333
HSC113,BA,C.albicans,14.25,0.4225,11.25,0.40499999999999997
HSC113,FLC,C.albicans,15,0.2733333333333333,12.333333333333334,0.215
HSC114,BA,C.glabrata,14.5,0.3416666666666667,10.833333333333334,0.28833333333333333
HSC114,FLC,C.glabrata,12.166666666666666,0.37833333333333335,8.666666666666666,0.33
HSC116,BA,C.albicans,18,0.18833333333333335,15.333333333333334,0.13
HSC116,FLC,C.albicans,15.666666666666666,0.21666666666666665,14.333333333333334,0.17166666666666666
HSC119,BA,C.glabrata,10.666666666666666,0.35333333333333333,8.5,0.37833333333333335
HSC119,FLC,C.glabrata,15.666666666666666,0.325,12.666666666666666,0.33666666666666667
HSC120,BA,C.albicans,12.5,0.1716666666666667,10.833333333333334,0.115
HSC120,FLC,C.albicans,21.166666666666668,0.4416666666666667,18.166666666666668,0.5933333333333334
HSC121,BA,C.glabrata,12.666666666666666,0.365,9.5,0.3466666666666667
