Filename,OrbitId,ELB,Background,Celltype 1,ROIArea[pixel],ROI-Group
A02_FLC_2_t12.jpeg,174,local,0.449301,0.550699,1391744,0
A02_FLC_2_t13.jpeg,175,local,0.396584,0.603416,1391744,0
A02_FLC_2_t14.jpeg,176,local,0.488871,0.511129,1391744,0
A02_FLC_2_t15.jpeg,177,local,0.412613,0.587387,1391744,0
A02_FLC_2_t16.jpeg,178,local,0.407741,0.592259,1391744,0
A02_FLC_2_t17.jpeg,179,local,0.392975,0.607025,1391744,0
A02_FLC_2_t18.jpeg,180,local,0.366294,0.633706,1391744,0
A02_FLC_2_t19.jpeg,181,local,0.357298,0.642702,1391744,0
A02_FLC_2_t20.jpeg,182,local,0.337237,0.662763,1391744,0
A02_FLC_2_t21.jpeg,183,local,0.431788,0.568212,1391744,0
A02_FLC_2_t22.jpeg,184,local,0.381937,0.618063,1391744,0
A02_FLC_2_t23.jpeg,185,local,0.38779,0.61221,1391744,0
A02_FLC_2_t24.jpeg,186,local,0.449647,0.550353,1391744,0
A02_FLC_32_t0.jpeg,187,local,0.983468,0.016532,1391744,0
A02_FLC_32_t01.jpeg,188,local,0.967232,0.032768,1391744,0
A02_FLC_32_t02.jpeg,189,local,0.875567,0.124433,1391744,0
A02_FLC_32_t03.jpeg,190,local,0.802651,0.197349,1391744,0
A02_FLC_32_t04.jpeg,191,local,0.677986,0.322014,1391744,0
A02_FLC_32_t05.jpeg,192,local,0.703836,0.296164,1391744,0
A02_FLC_32_t06.jpeg,193,local,0.689572,0.310428,1391744,0
A02_FLC_32_t07.jpeg,194,local,0.660152,0.339848,1391744,0
A02_FLC_32_t08.jpeg,195,local,0.657689,0.342311,1391744,0
A02_FLC_32_t09.jpeg,196,local,0.592197,0.407803,1391744,0
A02_FLC_32_t10.jpeg,197,local,0.523411,0.476589,1391744,0
A02_FLC_32_t11.jpeg,198,local,0.503899,0.496101,1391744,0
A02_FLC_32_t12.jpeg,199,local,0.538863,0.461137,1391744,0
A02_FLC_32_t13.jpeg,200,local,0.460584,0.539416,1391744,0
A02_FLC_32_t14.jpeg,201,local,0.457765,0.542235,1391744,0
A02_FLC_32_t15.jpeg,202,local,0.459574,0.540426,1391744,0
A02_FLC_32_t16.jpeg,203,local,0.493438,0.506562,1391744,0
A02_FLC_32_t17.jpeg,204,local,0.455236,0.544764,1391744,0
A02_FLC_32_t18.jpeg,205,local,0.393609,0.606391,1391744,0
A02_FLC_32_t19.jpeg,206,local,0.41076,0.58924,1391744,0
A02_FLC_32_t20.jpeg,207,local,0.443499,0.556501,1391744,0
A02_FLC_32_t21.jpeg,208,local,0.420945,0.579055,1391744,0
A02_FLC_32_t22.jpeg,209,local,0.388319,0.611681,1391744,0
A02_FLC_32_t23.jpeg,210,local,0.42052,0.57948,1391744,0
A02_FLC_32_t24.jpeg,211,local,0.382404,0.617596,1391744,0
A02_FLC_4_t0.jpeg,212,local,0.980402,0.019598,1391744,0
A02_FLC_4_t01.jpeg,213,local,0.957623,0.042377,1391744,0
A02_FLC_4_t02.jpeg,214,local,0.879551,0.120449,1391744,0
A02_FLC_4_t03.jpeg,215,local,0.74157,0.25843,1391744,0
A02_FLC_4_t04.jpeg,216,local,0.62128,0.37872,1391744,0
A02_FLC_4_t05.jpeg,217,local,0.671501,0.328499,1391744,0
A02_FLC_4_t06.jpeg,218,local,0.652127,0.347873,1391744,0
A02_FLC_4_t07.jpeg,219,local,0.579011,0.420989,1391744,0
A02_FLC_4_t08.jpeg,220,local,0.551591,0.448409,1391744,0
A02_FLC_4_t09.jpeg,221,local,0.461736,0.538264,1391744,0
A02_FLC_4_t10.jpeg,222,local,0.464511,0.535489,1391744,0
A02_FLC_4_t11.jpeg,223,local,0.444032,0.555968,1391744,0
A02_FLC_4_t12.jpeg,224,local,0.459474,0.540526,1391744,0
A02_FLC_4_t13.jpeg,225,local,0.503547,0.496453,1391744,0
A02_FLC_4_t14.jpeg,226,local,0.424521,0.575479,1391744,0
A02_FLC_4_t15.jpeg,227,local,0.446096,0.553904,1391744,0
A02_FLC_4_t16.jpeg,228,local,0.428404,0.571596,1391744,0
A02_FLC_4_t17.jpeg,229,local,0.398568,0.601432,1391744,0
A02_FLC_4_t18.jpeg,230,local,0.438722,0.561278,1391744,0
A02_FLC_4_t19.jpeg,231,local,0.450118,0.549882,1391744,0
A02_FLC_4_t20.jpeg,232,local,0.415872,0.584128,1391744,0
A02_FLC_4_t21.jpeg,233,local,0.383117,0.616883,1391744,0
A02_FLC_4_t22.jpeg,234,local,0.390397,0.609603,1391744,0
A02_FLC_4_t23.jpeg,235,local,0.384101,0.615899,1391744,0
A02_FLC_4_t24.jpeg,236,local,0.384229,0.615771,1391744,0
A02_FLC_8_t0.jpeg,237,local,0.978002,0.021998,1391744,0
A02_FLC_8_t01.jpeg,238,local,0.962593,0.037407,1391744,0
A02_FLC_8_t02.jpeg,239,local,0.89287,0.10713,1391744,0
